ars,emd_cd,sttn_nm
36254,4159333022,왕재고개
36255,4159136024,송산1리
36256,4159136024,송산1리
36257,4159333030,삼일화학
36259,4159333022,왕재고개
36260,4159333022,빼골
36261,4159333022,빼골
36266,4159136024,송산4리
36267,4159136024,송산4리
36268,4159136024,서영정밀
36269,4159711300,방교동
36270,4159333036,내리교회
36272,4159136024,수산중공업
36274,4159333022,괘랑2리.차운혁충신정려문
36275,4159333022,괘랑2리.차운혁충신정려문
36276,4159333022,새터말
36277,4159333022,새터말
36278,4159136024,부처내
36279,4159333039,용수리
36280,4159333039,용수리
36281,4159510900,우미린센트포레1단지
36282,4159333022,앞말
36283,4159333022,앞말
36284,4159333039,고지리
36285,4159333039,고지리
36286,4159333039,고지리
36287,4159333038,고지리
36288,4159510800,용주사
36289,4159510800,용주사
36290,4159510900,돌고지
36291,4159333022,뱅뱅이
36292,4159510900,뱅뱅이
36293,4159510900,돌고지
36294,4159510900,한강CM
36295,4159510900,한강CM
36296,4159333034,금복리
36297,4159333034,금복리
36298,4159510600,망포고등학교
36299,4159333038,고지리
36300,4159333038,고지리
