route_id,seq,station_id,updown,acc_m
208000019,63,117000010,B,29900.0
208000019,64,117000012,B,30380.0
208000019,65,117000014,B,31290.0
208000019,66,117000310,B,31970.0
208000019,67,208000094,B,32360.0
208000019,68,208000093,B,33420.0
208000019,69,208000092,B,33890.0
208000019,70,208000091,B,34110.0
208000019,71,208000090,B,34590.0
208000019,72,208000089,B,35020.0
208000019,73,208000103,B,35330.0
208000025,60,209000145,B,21250.0
208000025,61,208000145,B,21490.0
208000025,62,208000144,B,21660.0
208000025,63,208000143,B,22000.0
208000025,64,208000275,B,22230.0
208000025,65,208000276,B,22590.0
208000025,66,208000277,B,22800.0
208000025,67,208000379,B,23010.0
208000025,68,208000114,B,23680.0
208000025,69,208000066,B,24030.0
208000025,70,208000186,B,24310.0
208000025,71,208000185,B,24660.0
208000025,72,208000184,B,24870.0
208000025,73,208000183,B,25200.0
208000025,74,208000138,B,25510.0
208000025,75,208000137,B,25850.0
208000025,76,208000136,B,26140.0
208000025,77,208000135,B,26300.0
208000025,78,208000134,B,26690.0
208000025,79,208000133,B,26970.0
208000025,80,208000132,B,27110.0
208000026,1,225000180,F,
208000026,2,225000010,F,330.0
208000026,3,225000138,F,2020.0
208000026,4,225000050,F,2270.0
208000026,5,225000005,F,2680.0
208000026,6,225000004,F,3210.0
208000026,7,225000003,F,3490.0
208000026,8,225000002,F,4030.0
208000026,9,225000001,F,4320.0
208000026,10,225000100,F,4520.0
208000026,11,225000099,F,4830.0
208000026,12,225000098,F,5390.0
208000026,13,225000128,F,5760.0
208000026,14,225000127,F,6010.0
208000026,15,225000126,F,6270.0
208000026,16,225000125,F,6540.0
208000026,17,208000081,F,6850.0
208000026,18,208000080,F,7380.0
208000026,19,208000084,F,8020.0
208000026,20,209000118,F,8440.0
208000026,21,209000155,F,9060.0
208000026,22,209000154,F,9200.0
208000026,23,209000084,F,9770.0
208000026,24,209000095,F,10370.0
208000026,25,209000094,F,10680.0
208000026,26,209000069,F,11050.0
208000026,27,209000068,F,11330.0
208000026,28,209000067,F,11790.0
208000026,29,209000066,F,12250.0
208000026,30,209000065,F,12660.0
208000026,31,209000037,F,13280.0
208000026,32,209000036,F,13740.0
208000026,33,209000035,F,14130.0
208000016,85,118000158,B,35730.0
208000016,86,118000579,B,36060.0
208000016,87,118000173,B,36580.0
208000016,88,118000010,B,37200.0
208000016,89,118000009,B,37700.0
208000016,90,116000013,B,38240.0
208000016,91,117000002,B,39320.0
208000016,92,117000004,B,39750.0
208000016,93,117000006,B,40340.0
208000016,94,117000008,B,41140.0
208000016,95,117000010,B,41680.0
208000016,96,117000012,B,42160.0
208000016,97,117000014,B,43070.0
208000016,98,117000310,B,43750.0
208000016,99,208000094,B,44140.0
208000016,100,208000093,B,45200.0
208000016,101,208000047,B,45650.0
208000016,102,208000090,B,46180.0
208000016,103,208000089,B,46610.0
208000016,104,208000205,B,47120.0
208000016,105,208000204,B,47480.0
208000016,106,208000158,B,47900.0
208000016,107,208000157,B,48170.0
208000016,108,208000156,B,48580.0
208000016,109,208000155,B,49020.0
208000016,110,208000087,B,49430.0
208000016,111,208000086,B,49810.0
208000016,112,208000285,B,50010.0
208000016,113,208000119,B,50440.0
208000016,114,208000046,B,51020.0
208000016,115,225000017,B,51580.0
208000016,116,225000016,B,51950.0
208000016,117,209000225,B,52250.0
208000016,118,209000077,B,52550.0
208000016,119,209000009,B,53000.0
208000016,120,209000224,B,53220.0
208000016,121,225000158,B,53740.0
208000016,122,226000045,B,54130.0
208000016,123,226000044,B,54590.0
